"player","pos","sprint","bench","bar","pdhgt","overall_pick","games","win_shares"
"A.J. Guyton","PG-SG",3.22,9,1.041,135,32,80,0.3
"A.J. Price","PG",3.22,11,1.045,128,52,261,4.7
"Aaron Brooks","PG",3.2,6,1.086,133.5,26,645,19.2
"Aaron Gray","C",3.7,17,1.039,141,49,318,6.2
"Acie Law","PG",3.22,8,1.061,132,11,188,1.6
"Adam Morrison","SF",3.37,11,1.045,135.5,3,161,-1.4
"Admiral Schofield","SF",3.37,15,1.076,136.5,42,71,0.4
"Al-Farouq Aminu","SF",3.3,13,1.101,142,8,711,27.6
"Al Horford","PF",3.37,20,1.059,142.5,3,950,100.3
"Al Jefferson","PF-SF",3.29,3,1.075,140,15,915,71
"Al Thornton","SF",3.16,9,1.093,145,14,296,6.1
"Alec Burks","SG",3.17,5,1.065,139.5,12,625,26
"Alex Acker","SG",3.35,11,1.109,134.5,60,30,-0.2
"Alize Johnson","PF",3.38,8,1.019,134,50,72,1.3
"Allen Crabbe","SG",3.32,10,1.078,139.5,31,381,13.7
"Alton Ford","PF",3.16,21,1.028,139,51,73,0.8
"Amar'e Stoudemire","PF",3.25,12,1.065,144,9,846,92.5
"Andre Drummond","C",3.39,10,1.104,143,9,718,67.7
"Andre Iguodala","SG-SF",3.18,4,1.068,140,9,1223,100.3
"Andre Roberson","PF-SF",3.34,10,1.061,141,26,307,12.6
"Andrew Bogut","C-PF",3.51,13,1.048,144,1,706,50.6
"Andrew Goudelock","PG",3.1,4,1.041,133.5,46,49,0
"Andrew Nicholson","PF",3.67,10,1.093,137.5,19,285,3.8
"Andy Rautins","SG",3.49,8,1.036,130.5,38,5,-0.2
"Anfernee Simons","SG-PG",3.1,1,1.094,141,24,211,4
"Anthony Brown","SF-SG",3.18,4,1.068,139,34,41,-0.2
"Anthony Randolph","PF-SF",3.26,7,1.074,144,14,252,5.8
"Antoine Wright","SF-SG",3.41,12,1.045,134,15,297,3.1
"Antonis Fotsis","SF",3.44,2,0.991,136,48,28,0.1
"Archie Goodwin","SG",3.27,1,1.076,138,29,165,1.1
"Armon Johnson","PG-SG",3.19,18,1.081,138,34,47,-0.1
"Arnett Moultrie","PF",3.22,10,1.058,144,27,59,1.7
"Austin Daye","SF-PF",3.55,0,1.061,138,15,293,4.5
"Austin Rivers","SG-PG",3.32,1,1.05,134,10,655,13.9
"Avery Bradley","SG-PG",3.14,2,1.071,136,19,660,17.2
"Ben Gordon","PG-SG",3.19,12,1.103,136.5,3,744,33.3
"Ben McLemore","SG",3.27,6,1.056,142.5,7,556,9
"Bernard James","PF",3.4,6,1.077,141,33,92,1.9
"Bernard Robinson","SG-SF",3.17,14,1.061,136.5,45,128,2
"Blake Griffin","PF",3.28,22,1.034,140.5,1,724,79.3
"Bobby Jones","SF-SG",3.28,15,1.048,136,37,91,1.1
"Bobby Portis","PF",3.56,5,1.055,140,22,453,21.1
"Bobby Simmons","SF",3.41,12,1.077,139,42,466,20.1
"Bracey Wright","SG-PG",3.27,8,1.119,136.5,47,26,0.5
"Bradley Beal","SG",3.28,8,1.063,139,3,645,48.8
"Brandan Wright","PF",3.31,2,1.087,144,8,428,26.2
"Branden Dawson","PF",3.2,12,1.071,139.5,56,6,0
"Brandon Armstrong","SG",3.2,6,1.079,136.5,23,108,-0.6
"Brandon Bass","PF",3.24,18,1.105,139.5,33,758,42.8
"Brandon Clarke","SF",3.15,10,1.013,142.5,21,181,15.4
"Brandon Hunter","PF",3.21,25,1.105,140.5,56,67,0.7
"Brandon Knight","PG",3.07,10,1.071,136,8,451,11.6
"Brandon Roy","SG-SF",3.27,6,1.036,141.5,6,326,37.4
"Brandon Rush","SG-SF",3.31,0,1.081,139.5,13,481,11.2
"Brendan Haywood","C",3.5,17,1.081,142,20,816,43.8
"Brian Cook","PF-SF",3.45,6,1.055,138,24,421,10.2
"Brian Scalabrine","PF-SF",3.47,14,1.012,136,35,520,7.6
"Brook Lopez","C",3.57,7,1.075,143.5,10,868,71.5
"Bruce Brown","SG-PG",3.2,17,1.073,136.5,42,269,12.7
"Bruno Fernando","C",3.21,13,1.08,143.5,34,119,1.2
"Byron Mullens","C",3.45,10,1.021,143.5,24,189,0.6
"Cameron Payne","PG",3.28,0,1.089,133,14,279,8.2
"Carl Landry","PF",3.29,21,1.051,139,31,513,35.9
"Carlos Boozer","PF",3.31,13,1.082,137,35,861,80.3
